lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season111	1080.0	2519.0	2182.0	586.0	3088.0	4557.0	3579.0	1050.0	4947.0	3095.0	3163.0	1446.0	4520.0	832.0	1757.0	1458.0	715.0	1494.0	1774.0	5695.0	1315.0	5352.0	4022.0	1036.0	3998.0	8930.0	4174.0	5358.0	4122.0	547.0	2175.0	90567.3	1899669.0	1839944.701833
sub-season112	1124.0	3014.0	2432.0	534.0	3201.0	4961.0	4281.0	1149.0	5738.0	3685.0	3581.0	1753.0	5060.0	771.0	1703.0	2135.0	695.0	1655.0	1556.0	5918.0	1154.0	6438.0	4485.0	1344.0	4800.0	9429.0	5504.0	6352.0	4308.0	552.0	2057.0	101367.0	1991731.0	1866319.603862
sub-season114	722.0	1783.0	1723.0	367.0	2433.0	4056.0	2944.0	835.0	4447.0	2295.0	2509.0	1399.0	3755.0	485.0	1583.0	1148.0	698.0	1263.0	883.0	4168.0	1059.0	4452.0	3496.0	524.0	3017.0	8519.0	3974.0	4692.0	3373.0	505.0	1664.0	74771.6	1594501.0	1463036.570722
sub-season116	1220.0	2708.0	1993.0	379.0	3226.0	4135.0	3330.0	944.0	4848.0	2889.0	3160.0	1539.0	4773.0	673.0	1559.0	1490.0	711.0	1842.0	1592.0	4776.0	1359.0	4670.0	3859.0	1149.0	4675.0	8599.0	4433.0	5719.0	4338.0	533.0	1918.0	89036.6	1853772.0	1647607.876188
sub-season117	1406.0	2309.0	1748.0	561.0	2517.0	4398.0	4913.0	839.0	5487.0	3086.0	2984.0	1634.0	4619.0	814.0	2011.0	1335.0	717.0	1806.0	992.0	4449.0	1647.0	5451.0	4384.0	1274.0	4937.0	9481.0	4888.0	5449.0	3575.0	504.0	1935.0	92149.8	2020812.0	1881811.932601
sub-season119	805.0	1928.0	1947.0	492.0	2942.0	5197.0	3465.0	899.0	5408.0	2732.0	2427.0	1779.0	4474.0	614.0	1577.0	1344.0	662.0	1413.0	1267.0	4035.0	1158.0	4091.0	3715.0	869.0	3428.0	8205.0	4108.0	4891.0	3435.0	423.0	1972.0	81701.4	1670736.0	1562273.317563
sub-season120	1060.0	2436.0	2001.0	294.0	2553.0	4072.0	3766.0	938.0	5589.0	3246.0	2554.0	1806.0	4477.0	642.0	1664.0	1415.0	780.0	2022.0	894.0	4402.0	1066.0	4711.0	3591.0	1185.0	4444.0	9892.0	4363.0	4946.0	3785.0	542.0	1998.0	87132.2	1868388.0	1666242.769937
sub-season121	1305.0	2463.0	2459.0	506.0	2989.0	6333.0	4262.0	1588.0	6607.0	3064.0	3733.0	1675.0	4483.0	721.0	1594.0	1571.0	835.0	1710.0	1745.0	5998.0	1395.0	6087.0	4490.0	1264.0	4517.0	9474.0	5206.0	5365.0	3673.0	473.0	2102.0	99688.9	2013998.0	1888531.516722
sub-season122	1402.0	2462.0	1908.0	363.0	2429.0	4424.0	4187.0	1090.0	4846.0	3204.0	3088.0	1593.0	4624.0	728.0	1849.0	1645.0	693.0	1915.0	1249.0	4886.0	1584.0	4478.0	4638.0	1318.0	4418.0	9542.0	5019.0	5322.0	4197.0	504.0	2188.0	91791.7	1875626.0	1800090.211769
sub-season123	1510.0	2792.0	2189.0	391.0	2936.0	4468.0	3759.0	1443.0	5877.0	3422.0	3712.0	2064.0	5360.0	773.0	1918.0	2209.0	770.0	2158.0	1770.0	4727.0	1128.0	5457.0	4062.0	1637.0	4538.0	8561.0	4631.0	6943.0	4682.0	616.0	2250.0	98752.1	2050727.0	1859570.015429
sub-season124	796.0	1693.0	2150.0	493.0	2942.0	4985.0	3166.0	886.0	6128.0	2990.0	2855.0	1358.0	4111.0	676.0	1332.0	1193.0	676.0	1584.0	1239.0	4183.0	1056.0	4199.0	3536.0	899.0	4069.0	7496.0	3998.0	5514.0	2908.0	505.0	1786.0	81399.5	1800721.0	1690908.580525
sub-season125	912.0	2818.0	2405.0	439.0	3005.0	4870.0	3577.0	738.0	6014.0	2732.0	3253.0	1625.0	4334.0	843.0	1803.0	1568.0	731.0	1848.0	1259.0	4781.0	1194.0	4844.0	4234.0	1026.0	4188.0	8469.0	3497.0	5894.0	3241.0	515.0	1846.0	88503.5	1832870.0	1608718.911125
sub-season126	1104.0	2577.0	1859.0	400.0	2560.0	4078.0	3584.0	842.0	5297.0	3023.0	3269.0	1749.0	3917.0	585.0	1704.0	1177.0	630.0	1383.0	1348.0	4804.0	1204.0	5413.0	3963.0	939.0	4176.0	8614.0	4057.0	5255.0	4114.0	494.0	1943.0	86062.7	1740868.0	1664326.550661
sub-season127	1373.0	2182.0	2053.0	442.0	2809.0	4996.0	3793.0	1140.0	5539.0	3083.0	3331.0	1585.0	4735.0	618.0	1601.0	1758.0	793.0	2135.0	1494.0	4618.0	1509.0	5036.0	3479.0	1492.0	4257.0	8321.0	4199.0	5539.0	3835.0	592.0	2019.0	90354.1	1922793.0	1788638.710277
sub-season128	1048.0	2099.0	2147.0	458.0	2892.0	3746.0	3328.0	960.0	5152.0	2839.0	3123.0	1534.0	4113.0	610.0	1509.0	1564.0	700.0	2236.0	1434.0	6346.0	1117.0	4646.0	3765.0	1166.0	3910.0	7202.0	4292.0	5164.0	3859.0	483.0	2112.0	85555.7	1698582.0	1630272.864062
sub-season129	1065.0	2176.0	1830.0	360.0	2484.0	4242.0	3173.0	985.0	5398.0	2859.0	2932.0	1608.0	4192.0	597.0	1618.0	1485.0	757.0	1473.0	1252.0	4488.0	1248.0	4262.0	3165.0	859.0	3676.0	8161.0	3062.0	5083.0	3272.0	449.0	1947.0	80157.7	1648872.0	1500330.289239
sub-season130	1199.0	2231.0	2171.0	511.0	2749.0	4598.0	3514.0	995.0	5188.0	2939.0	2907.0	1646.0	4600.0	590.0	1572.0	1601.0	732.0	1725.0	1429.0	4134.0	1197.0	4360.0	3879.0	970.0	3968.0	7761.0	3849.0	5507.0	3139.0	452.0	2086.0	84195.9	1776542.0	1550210.219428
sub-season131	1126.0	3347.0	1779.0	503.0	3306.0	5574.0	3916.0	1021.0	5815.0	3184.0	3344.0	1766.0	4839.0	765.0	1622.0	1860.0	658.0	1635.0	1409.0	4632.0	1129.0	5297.0	3797.0	969.0	4528.0	8533.0	3974.0	5556.0	4210.0	494.0	1779.0	92366.8	1924837.0	1769658.917433
sub-season132	677.0	2113.0	2202.0	311.0	2231.0	3478.0	2682.0	644.0	4541.0	2369.0	2703.0	1390.0	3035.0	489.0	1247.0	1336.0	500.0	1381.0	1174.0	3671.0	828.0	3790.0	3274.0	588.0	3354.0	7234.0	3920.0	4433.0	3167.0	560.0	1682.0	71003.7	1468198.0	1438778.843677
sub-season133	1051.0	2146.0	1976.0	403.0	2679.0	3899.0	2456.0	1004.0	4886.0	2870.0	2865.0	1501.0	3596.0	531.0	1615.0	1870.0	739.0	1944.0	1346.0	4402.0	1136.0	4625.0	3748.0	931.0	3807.0	8176.0	3506.0	4901.0	3430.0	503.0	1891.0	80432.4	1720390.0	1525111.068804
sub-season134	1153.0	2520.0	1914.0	720.0	3153.0	4829.0	3727.0	1191.0	5165.0	3342.0	3159.0	1837.0	4718.0	755.0	1762.0	2150.0	924.0	2147.0	1416.0	5375.0	1200.0	5028.0	3704.0	1050.0	4061.0	8902.0	4764.0	5971.0	4489.0	726.0	2097.0	93948.4	1889041.0	1801835.406833
sub-season135	749.0	2097.0	1911.0	467.0	2606.0	4009.0	2908.0	767.0	4235.0	3186.0	2402.0	1493.0	3524.0	572.0	1514.0	1843.0	806.0	1713.0	978.0	4215.0	919.0	4043.0	4287.0	763.0	3404.0	6942.0	4443.0	5212.0	3495.0	544.0	1824.0	77872.3	1740537.0	1616004.375605
sub-season136	751.0	1819.0	1683.0	401.0	2783.0	3792.0	3227.0	748.0	4750.0	2285.0	2298.0	1443.0	4043.0	645.0	1469.0	1329.0	651.0	1592.0	975.0	3847.0	906.0	3765.0	3639.0	869.0	3180.0	7359.0	4251.0	4367.0	3147.0	372.0	1698.0	74083.9	1508104.0	1034049.470323
sub-season137	881.0	1728.0	2197.0	342.0	2715.0	3823.0	3248.0	901.0	5252.0	2544.0	3191.0	1353.0	3662.0	637.0	1501.0	1483.0	739.0	1505.0	1471.0	4115.0	1191.0	4468.0	3557.0	853.0	3314.0	8171.0	3831.0	4643.0	3238.0	477.0	2128.0	79160.2	1685494.0	1491167.008964
sub-season138	824.0	2282.0	1848.0	336.0	2411.0	3813.0	3375.0	885.0	4420.0	2499.0	2531.0	1313.0	3965.0	592.0	1439.0	1920.0	726.0	2035.0	1042.0	4244.0	1199.0	3951.0	3597.0	675.0	3442.0	6737.0	3855.0	5179.0	3166.0	433.0	1865.0	76596.3	1653842.0	1590894.208128
sub-season139	1174.0	2451.0	1844.0	512.0	2623.0	4544.0	3537.0	1010.0	4890.0	2919.0	3290.0	1741.0	3862.0	695.0	1631.0	1288.0	616.0	1516.0	1096.0	4547.0	1068.0	4422.0	3689.0	1134.0	4171.0	9353.0	5112.0	5150.0	5609.0	501.0	2038.0	88032.5	1798038.0	1604331.700794
sub-season202	1339.0	3140.0	1904.0	824.0	3384.0	5026.0	4343.0	1318.0	5825.0	3820.0	2932.0	1631.0	4749.0	775.0	1810.0	1680.0	921.0	2176.0	1102.0	5844.0	1604.0	4941.0	4778.0	1501.0	4625.0	9834.0	5085.0	6135.0	5013.0	630.0	2345.0	101036.0	2092033.0	1916711.049653
sub-season204	1179.0	2730.0	2420.0	360.0	2425.0	4181.0	2981.0	1048.0	4476.0	3085.0	3472.0	1722.0	3711.0	686.0	1726.0	1493.0	917.0	1611.0	1507.0	4817.0	1394.0	4545.0	4719.0	1151.0	4396.0	8442.0	4314.0	5361.0	4540.0	602.0	2285.0	88294.7	1699540.0	1570270.031681
sub-season206	837.0	1726.0	1500.0	399.0	2527.0	4139.0	3119.0	767.0	3867.0	2123.0	2425.0	1274.0	3851.0	678.0	1418.0	1203.0	583.0	1208.0	1007.0	4147.0	1011.0	4155.0	3104.0	566.0	2867.0	7276.0	3898.0	4659.0	3636.0	401.0	1777.0	72148.7	1468948.0	1383391.526081
sub-season207	1183.0	2461.0	1666.0	491.0	3147.0	5311.0	3511.0	1062.0	4909.0	3110.0	3163.0	1601.0	4673.0	613.0	1661.0	1476.0	658.0	1856.0	1294.0	4106.0	1534.0	4724.0	4161.0	1191.0	4880.0	8362.0	4905.0	5670.0	4196.0	504.0	2077.0	90160.4	1922918.0	1644214.533657
sub-season208	913.0	2029.0	1927.0	467.0	2562.0	3351.0	2788.0	895.0	4354.0	2800.0	2771.0	1448.0	3828.0	590.0	1554.0	1387.0	681.0	1844.0	1391.0	4329.0	1438.0	4170.0	3539.0	679.0	3682.0	7946.0	3920.0	4601.0	3507.0	472.0	1859.0	77722.5	1641376.0	1503990.502993
sub-season211	783.0	2173.0	2282.0	458.0	2526.0	3391.0	2749.0	782.0	5087.0	2429.0	2588.0	1708.0	3666.0	593.0	1628.0	1388.0	649.0	1614.0	1286.0	4024.0	979.0	4369.0	3393.0	739.0	3295.0	7616.0	4659.0	4184.0	3051.0	500.0	1725.0	76313.8	1553085.0	1286875.354328
sub-season212	1061.0	2271.0	1926.0	361.0	2341.0	4043.0	2956.0	922.0	4159.0	2837.0	2552.0	1344.0	3892.0	622.0	1559.0	1211.0	639.0	1367.0	1101.0	4273.0	1209.0	4599.0	3140.0	1036.0	3660.0	7569.0	3849.0	4773.0	3448.0	422.0	1707.0	76848.1	1572130.0	1442746.017587
sub-season213	1349.0	2708.0	2373.0	368.0	3327.0	5398.0	4297.0	1202.0	6202.0	3365.0	3342.0	1500.0	4496.0	665.0	1877.0	2122.0	662.0	2065.0	1681.0	4884.0	1656.0	5196.0	4374.0	1343.0	4893.0	8926.0	4905.0	5711.0	4138.0	585.0	2101.0	97709.0	2045996.0	1832589.980648
sub-season214	991.0	2070.0	1712.0	336.0	2817.0	3916.0	2967.0	656.0	5267.0	2986.0	2733.0	1707.0	3900.0	738.0	1897.0	1404.0	786.0	1566.0	1112.0	4462.0	1040.0	3908.0	3649.0	1004.0	3815.0	8912.0	4496.0	4825.0	3983.0	475.0	2050.0	82181.7	1765975.0	1545556.131925
sub-season215	1236.0	2658.0	1913.0	513.0	3084.0	4891.0	3528.0	1354.0	6020.0	3263.0	3516.0	1837.0	5494.0	577.0	1646.0	1794.0	871.0	1992.0	1484.0	5314.0	1575.0	4704.0	3533.0	834.0	5620.0	9239.0	4382.0	6260.0	4564.0	655.0	2050.0	96401.7	2007393.0	1890353.443068
sub-season216	814.0	2144.0	1870.0	391.0	2170.0	3768.0	2373.0	773.0	4355.0	2636.0	2998.0	1252.0	3245.0	603.0	1584.0	1290.0	618.0	1452.0	1040.0	3663.0	1245.0	4169.0	2654.0	856.0	3193.0	7731.0	3421.0	4498.0	2737.0	414.0	1651.0	71609.4	1686333.0	1565935.634338
sub-season217	930.0	2247.0	1812.0	360.0	2280.0	3629.0	3047.0	741.0	4320.0	2607.0	2751.0	1556.0	3738.0	560.0	1316.0	1368.0	541.0	1322.0	1296.0	3865.0	1239.0	4291.0	2865.0	823.0	3020.0	7579.0	3371.0	4963.0	3203.0	425.0	1748.0	73815.2	1583567.0	1508800.304795
